prompt_number,prompt_image,thisN,thisTrialN,thisRepN,item,number,slider_thinking_content.response,slider_thinking_content.rt,key_resp_thinking_content.keys,key_resp_thinking_content.rt,key_resp_thinking_content.duration,rumination_loop.thisRepN,rumination_loop.thisTrialN,rumination_loop.thisN,rumination_loop.thisIndex,think_content_loop.thisRepN,think_content_loop.thisTrialN,think_content_loop.thisN,think_content_loop.thisIndex,thisRow.t,notes,welcome_screen.started,image_rum_instruct.started,key_resp_welcome.started,welcome_screen.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,text_refresh.stopped,refresh.stopped,wait4trigger_scanner.started,wait4trigger_text.started,scanner_trigger.started,wait4trigger_scanner.stopped,scanner_trigger.keys,scanner_trigger.rt,scanner_trigger.duration,fake_stimulus.started,fake_stimulus_text.started,fake_stimulus_text.stopped,fake_stimulus.stopped,rumination.started,image_rum.started,rumination.stopped,emotional_level.started,rate_emotion_prompt.started,slider_emotion.started,key_resp_emotion.started,emotional_level.stopped,slider_emotion.response,slider_emotion.rt,Rating,key_resp_emotion.keys,key_resp_emotion.rt,key_resp_emotion.duration,think_content.started,main_body_questionnaire.started,item_text.started,slider_thinking_content.started,key_resp_thinking_content.started,think_content.stopped,think_content_loop.slider_thinking_content.response,think_content_loop.slider_thinking_content.rt,think_content_loop.key_resp_thinking_content.keys,think_content_loop.key_resp_thinking_content.rt,think_content_loop.key_resp_thinking_content.duration,goodbye.started,goodbye_text.started,key_resp_goodbye.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,2,2,0,是关于我自己的,3,None,None,3,0.4057449999997971,None,,,,,0,2,2,2,34.91361745799986,,,,,,,,,35.32585433300005,35.33272041700002,35.63034537499993,35.61728225000002,,,,,,,,,,,,,,,,,,,,,,6.0,,,,34.90460533300006,34.91361745799986,34.91361745799986,34.91361745799986,34.91361745799986,35.32581854199998,None,None,3,0.4057449999997971,None,,,,999,001,2025-06-16_16h18.58.973,rumination,2024.2.4,None,2025-06-16 16h19.04.310362 +0800,
,,3,3,0,是关于他人的,4,None,None,3,1.1171897919998628,None,,,,,0,3,3,3,35.63034537499993,,,,,,,,,36.7510803749999,36.75275362499997,37.06624749999992,37.036868499999855,,,,,,,,,,,,,,,,,,,,,,4.0,,,,35.620542333,35.63034537499993,35.63034537499993,35.63034537499993,35.63034537499993,36.75104566699997,None,None,3,1.1171897919998628,None,,,,999,001,2025-06-16_16h18.58.973,rumination,2024.2.4,None,2025-06-16 16h19.04.310362 +0800,
,,4,4,0,是正性的、积极的事件,5,None,None,3,0.6078595829999358,None,,,,,0,4,4,4,37.06624749999992,,,,,,,,,37.68380695799988,37.68562629200005,37.98317299999985,37.97040629200001,,,,,,,,,,,,,,,,,,,,,,7.0,,,,37.04147670799989,37.06624749999992,37.06624749999992,37.06624749999992,37.06624749999992,37.68377054200005,None,None,3,0.6078595829999358,None,,,,999,001,2025-06-16_16h18.58.973,rumination,2024.2.4,None,2025-06-16 16h19.04.310362 +0800,
,,5,5,0,是负性的、消极的事件,6,None,None,3,0.6079987499999788,None,,,,,0,5,5,5,37.98317299999985,,,,,,,,,38.600822332999996,38.60261079199995,38.90588891699986,38.88741108299996,,,,,,,,,,,,,,,,,,,,,,7.0,,,,37.97416170799988,37.98317299999985,37.98317299999985,37.98317299999985,37.98317299999985,38.60078558300006,None,None,3,0.6079987499999788,None,,,,999,001,2025-06-16_16h18.58.973,rumination,2024.2.4,None,2025-06-16 16h19.04.310362 +0800,
,,6,6,0,是以图像或意象的形式进行思维,7,None,None,3,0.7210782079998808,None,,,,,0,6,6,6,38.90588891699986,,,,,,,,,39.63575208299994,39.63774487499995,39.94784808300005,39.934344999999894,,,,,,,,,,,,,,,,,,,,,,3.0,,,,38.894203667000056,38.90588891699986,38.90588891699986,38.90588891699986,38.90588891699986,39.63571579199993,None,None,3,0.7210782079998808,None,,,,999,001,2025-06-16_16h18.58.973,rumination,2024.2.4,None,2025-06-16 16h19.04.310362 +0800,
,,7,7,0,是以内部言语的形式进行思维,8,None,None,3,0.4439749160001156,None,,,,,0,7,7,7,39.94784808300005,,,,,,,,,40.40114116699988,40.40299787499998,40.69991512499996,40.68710591700005,,,,,,,,,,,,,,,,,,,,,,5.0,,,,39.938817499999914,39.94784808300005,39.94784808300005,39.94784808300005,39.94784808300005,40.401104874999874,None,None,3,0.4439749160001156,None,,,,999,001,2025-06-16_16h18.58.973,rumination,2024.2.4,None,2025-06-16 16h19.04.310362 +0800,
,,8,8,0,让我感到开心,9,None,None,3,0.516416665999941,None,,,,,0,8,8,8,40.69991512499996,,,,,,,,,41.217875542,41.21917454200002,41.51912308299984,41.504487917000006,,,,,,,,,,,,,,,,,,,,,,7.0,,,,40.69120937499997,40.69991512499996,40.69991512499996,40.69991512499996,40.69991512499996,41.217840416999934,None,None,3,0.516416665999941,None,,,,999,001,2025-06-16_16h18.58.973,rumination,2024.2.4,None,2025-06-16 16h19.04.310362 +0800,
,,9,9,0,让我感到悲伤,10,None,None,3,0.8830599580001035,None,,,,,0,9,9,9,41.51912308299984,,,,,,,,,42.40960354200001,42.416530875000035,42.718005167,42.70151695799996,,,,,,,,,,,,,,,,,,,,,,4.0,,,,41.508425291999856,41.51912308299984,41.51912308299984,41.51912308299984,41.51912308299984,42.40956549999987,None,None,3,0.8830599580001035,None,,,,999,001,2025-06-16_16h18.58.973,rumination,2024.2.4,None,2025-06-16 16h19.04.310362 +0800,
,,10,10,0,有多少是在“走神”,11,None,None,3,2.968050958000049,None,,,,,0,10,10,10,42.718005167,,,,,,,,,45.693514124999865,45.70006170800002,45.98717504199999,45.984757374999845,,,,,,,,,,,,,,,,,,,,,,5.0,,,,42.70785220799985,42.718005167,42.718005167,42.718005167,42.718005167,45.69347829200001,None,None,3,2.968050958000049,None,,,,999,001,2025-06-16_16h18.58.973,rumination,2024.2.4,None,2025-06-16 16h19.04.310362 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.984832666999864,45.98717504199999,45.98717504199999,,,,,,,,
