prompt_number,prompt_image,thisN,thisTrialN,thisRepN,item,number,slider_thinking_content.response,slider_thinking_content.rt,key_resp_thinking_content.keys,key_resp_thinking_content.rt,key_resp_thinking_content.duration,distraction_loop.thisRepN,distraction_loop.thisTrialN,distraction_loop.thisN,distraction_loop.thisIndex,think_content_loop.thisRepN,think_content_loop.thisTrialN,think_content_loop.thisN,think_content_loop.thisIndex,thisRow.t,notes,welcome_screen.started,image_dis_instruct.started,key_resp_welcome.started,welcome_screen.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,text_refresh.stopped,refresh.stopped,wait4trigger_scanner.started,wait4trigger_text.started,scanner_trigger.started,wait4trigger_scanner.stopped,scanner_trigger.keys,scanner_trigger.rt,scanner_trigger.duration,fake_stimulus.started,fake_stimulus_text.started,fake_stimulus_text.stopped,fake_stimulus.stopped,distraction.started,image_dis.started,distraction.stopped,emotion_instruct.started,image_emotion_instruct.started,key_resp_emotion_instruct.started,emotion_instruct.stopped,key_resp_emotion_instruct.keys,key_resp_emotion_instruct.rt,key_resp_emotion_instruct.duration,emotional_level.started,rate_emotion_prompt.started,slider_emotion.started,key_resp_emotion.started,emotional_level.stopped,slider_emotion.response,slider_emotion.rt,Rating,key_resp_emotion.keys,key_resp_emotion.rt,key_resp_emotion.duration,think_content_instruct.started,image_think_content_instruct.started,key_resp_think_content_instruct.started,think_content_instruct.stopped,key_resp_think_content_instruct.keys,key_resp_think_content_instruct.rt,key_resp_think_content_instruct.duration,think_content.started,main_body_questionnaire.started,item_text.started,slider_thinking_content.started,key_resp_thinking_content.started,think_content.stopped,think_content_loop.slider_thinking_content.response,think_content_loop.slider_thinking_content.rt,think_content_loop.key_resp_thinking_content.keys,think_content_loop.key_resp_thinking_content.rt,think_content_loop.key_resp_thinking_content.duration,goodbye.started,goodbye_text.started,key_resp_goodbye.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.722772666999845,17.73869441700026,17.73869441700026,17.73869441700026,19.141839457999595,None,None,3.0,3,1.3904669579997062,None,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h47.18.434,distraction,2024.2.4,59.77740413068915,2025-06-16 17h47.24.182204 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.141865208000127,19.153349000000162,19.44112566700005,19.438371082999765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h47.18.434,distraction,2024.2.4,59.77740413068915,2025-06-16 17h47.24.182204 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.43839170799947,19.44112566700005,19.44112566700005,20.37278329199944,4,0.9192208750000646,None,,,,,,,,,,,,,,,999,001,2025-06-16_17h47.18.434,distraction,2024.2.4,59.77740413068915,2025-06-16 17h47.24.182204 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.372823582999445,20.377153292000003,,20.673753125000076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h47.18.434,distraction,2024.2.4,59.77740413068915,2025-06-16 17h47.24.182204 +0800,
,,0,0,0,是关于过去的事情,1,None,None,3,0.6994607500000711,None,,,,,0,0,0,0,20.6961619169997,,,,,,,,,21.39770737500021,21.406814957999813,21.720297625000057,21.69158429199979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,20.682827707999422,20.6961619169997,20.6961619169997,20.6961619169997,20.6961619169997,21.39766950000012,None,None,3,0.6994607500000711,None,,,,999,001,2025-06-16_17h47.18.434,distraction,2024.2.4,59.77740413068915,2025-06-16 17h47.24.182204 +0800,
,,1,1,0,是关于将来的事情,2,None,None,3,0.6918635830006679,None,,,,,0,1,1,1,21.720297625000057,,,,,,,,,22.41435166700012,22.422878749999654,22.737019874999532,22.70800670799963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,21.694641500000216,21.720297625000057,21.720297625000057,21.720297625000057,21.720297625000057,22.41431399999965,None,None,3,0.6918635830006679,None,,,,999,001,2025-06-16_17h47.18.434,distraction,2024.2.4,59.77740413068915,2025-06-16 17h47.24.182204 +0800,
,,2,2,0,是关于我自己的,3,None,None,4,0.6520959999998013,None,,,,,0,2,2,2,22.737019874999532,,,,,,,,,23.398004791999483,23.40360020800017,23.701765707999584,23.688508958000057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,22.711868917000174,22.737019874999532,22.737019874999532,22.737019874999532,22.737019874999532,23.39796241699969,None,None,4,0.6520959999998013,None,,,,999,001,2025-06-16_17h47.18.434,distraction,2024.2.4,59.77740413068915,2025-06-16 17h47.24.182204 +0800,
,,3,3,0,是关于他人的,4,None,None,3,0.5415155000000595,None,,,,,0,3,3,3,23.701765707999584,,,,,,,,,24.25646854200022,24.258362792000298,24.57029566700021,24.55528937500003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,23.69216970799971,23.701765707999584,23.701765707999584,23.701765707999584,23.701765707999584,24.256432291999772,None,None,3,0.5415155000000595,None,,,,999,001,2025-06-16_17h47.18.434,distraction,2024.2.4,59.77740413068915,2025-06-16 17h47.24.182204 +0800,
,,4,4,0,是正性的、积极的事件,5,None,None,3,0.3481195829999706,None,,,,,0,4,4,4,24.57029566700021,,,,,,,,,24.921887374999642,24.92374566699982,25.23714149999978,25.208220874999824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,24.560366292000253,24.57029566700021,24.57029566700021,24.57029566700021,24.57029566700021,24.921851541999786,None,None,3,0.3481195829999706,None,,,,999,001,2025-06-16_17h47.18.434,distraction,2024.2.4,59.77740413068915,2025-06-16 17h47.24.182204 +0800,
,,5,5,0,是负性的、消极的事件,6,None,None,4,0.35617037500014703,None,,,,,0,5,5,5,25.23714149999978,,,,,,,,,25.59560062499986,25.606562875000236,25.908216582999557,25.89137729199956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,25.212216500000068,25.23714149999978,25.23714149999978,25.23714149999978,25.23714149999978,25.595567749999645,None,None,4,0.35617037500014703,None,,,,999,001,2025-06-16_17h47.18.434,distraction,2024.2.4,59.77740413068915,2025-06-16 17h47.24.182204 +0800,
,,6,6,0,是以图像或意象的形式进行思维,7,None,None,3,2.912370875000306,None,,,,,0,6,6,6,25.908216582999557,,,,,,,,,28.84029845799978,28.842240707999736,29.153790542000024,29.138657124999554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,25.898120374999962,25.908216582999557,25.908216582999557,25.908216582999557,25.908216582999557,28.840257666999605,None,None,3,2.912370875000306,None,,,,999,001,2025-06-16_17h47.18.434,distraction,2024.2.4,59.77740413068915,2025-06-16 17h47.24.182204 +0800,
,,7,7,0,是以内部言语的形式进行思维,8,None,None,3,0.6254595830005201,None,,,,,0,7,7,7,29.153790542000024,,,,,,,,,29.7807768749999,29.787431832999573,30.086922792000223,30.072077457999512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,29.143262624999807,29.153790542000024,29.153790542000024,29.153790542000024,29.153790542000024,29.7807397079996,None,None,3,0.6254595830005201,None,,,,999,001,2025-06-16_17h47.18.434,distraction,2024.2.4,59.77740413068915,2025-06-16 17h47.24.182204 +0800,
,,8,8,0,让我感到开心,9,None,None,4,0.4842518329996892,None,,,,,0,8,8,8,30.086922792000223,,,,,,,,,30.572256124999512,30.573963957999695,30.88752724999995,30.85843420800029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,30.076471542000036,30.086922792000223,30.086922792000223,30.086922792000223,30.086922792000223,30.57222108299993,None,None,4,0.4842518329996892,None,,,,999,001,2025-06-16_17h47.18.434,distraction,2024.2.4,59.77740413068915,2025-06-16 17h47.24.182204 +0800,
,,9,9,0,让我感到悲伤,10,None,None,3,2.102012792000096,None,,,,,0,9,9,9,30.88752724999995,,,,,,,,,32.99780154200016,33.004254749999745,33.29455829200015,33.288888125000085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,30.862211832999492,30.88752724999995,30.88752724999995,30.88752724999995,30.88752724999995,32.997763291999945,None,None,3,2.102012792000096,None,,,,999,001,2025-06-16_17h47.18.434,distraction,2024.2.4,59.77740413068915,2025-06-16 17h47.24.182204 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.288967124999544,33.29455829200015,33.29455829200015,,,,,,,,
