prompt_number,prompt_image,thisN,thisTrialN,thisRepN,item,number,slider_thinking_content.response,slider_thinking_content.rt,key_resp_thinking_content.keys,key_resp_thinking_content.rt,key_resp_thinking_content.duration,rumination_loop.thisRepN,rumination_loop.thisTrialN,rumination_loop.thisN,rumination_loop.thisIndex,think_content_loop.thisRepN,think_content_loop.thisTrialN,think_content_loop.thisN,think_content_loop.thisIndex,thisRow.t,notes,welcome_screen.started,image_rum_instruct.started,key_resp_welcome.started,welcome_screen.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,text_refresh.stopped,refresh.stopped,wait4trigger_scanner.started,wait4trigger_text.started,wait4trigger_text.stopped,wait4trigger_scanner.stopped,fake_stimulus.started,fake_stimulus_text.started,fake_stimulus_text.stopped,fake_stimulus.stopped,rumination.started,image_rum.started,rumination.stopped,emotional_level.started,rate_emotion_prompt.started,slider_emotion.started,key_resp_emotion.started,emotional_level.stopped,slider_emotion.response,slider_emotion.rt,Rating,key_resp_emotion.keys,key_resp_emotion.rt,key_resp_emotion.duration,think_content.started,main_body_questionnaire.started,item_text.started,slider_thinking_content.started,key_resp_thinking_content.started,think_content.stopped,think_content_loop.slider_thinking_content.response,think_content_loop.slider_thinking_content.rt,think_content_loop.key_resp_thinking_content.keys,think_content_loop.key_resp_thinking_content.rt,think_content_loop.key_resp_thinking_content.duration,goodbye.started,goodbye_text.started,key_resp_goodbye.started,goodbye.stopped,key_resp_goodbye.keys,key_resp_goodbye.rt,key_resp_goodbye.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.014019166000025507,0.04873020800005179,0.04873020800005179,6.120315000000005,k,6.067056332999982,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h05.03.148,rumination_demo,2024.2.4,60.33287153545997,2025-06-16 16h05.08.035162 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.120370374999993,6.125205916000027,6.435432791000039,6.419252750000055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h05.03.148,rumination_demo,2024.2.4,60.33287153545997,2025-06-16 16h05.08.035162 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.419280916000048,6.435432791000039,7.42245575000004,7.419178833000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h05.03.148,rumination_demo,2024.2.4,60.33287153545997,2025-06-16 16h05.08.035162 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.419214207999971,7.42245575000004,9.47277804099997,9.407645207999963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h05.03.148,rumination_demo,2024.2.4,60.33287153545997,2025-06-16 16h05.08.035162 +0800,
2,stimuli/rum_prompt_2.png,0,0,0,,,,,,,,0,0,0,1,,,,,9.47277804099997,,,,,,,,,,,,,,,,,,,,,9.470638791000056,9.47277804099997,14.424576166000065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h05.03.148,rumination_demo,2024.2.4,60.33287153545997,2025-06-16 16h05.08.035162 +0800,
3,stimuli/rum_prompt_3.png,1,1,0,,,,,,,,0,1,1,2,,,,,14.481362875000059,,,,,,,,,,,,,,,,,,,,,14.478498833000003,14.481362875000059,19.423696790999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h05.03.148,rumination_demo,2024.2.4,60.33287153545997,2025-06-16 16h05.08.035162 +0800,
1,stimuli/rum_prompt_1.png,2,2,0,,,,,,,,0,2,2,0,,,,,19.47718279100002,,,,,,,,,,,,,,,,,,,,,19.473990875000027,19.47718279100002,24.424273125000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h05.03.148,rumination_demo,2024.2.4,60.33287153545997,2025-06-16 16h05.08.035162 +0800,
4,stimuli/rum_prompt_4.png,3,3,0,,,,,,,,0,3,3,3,,,,,24.477536500000042,,,,,,,,,,,,,,,,,,,,,24.474470833000055,24.477536500000042,29.42479424999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h05.03.148,rumination_demo,2024.2.4,60.33287153545997,2025-06-16 16h05.08.035162 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.424861958000065,29.435849250000047,29.748692957999992,29.720524458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h05.03.148,rumination_demo,2024.2.4,60.33287153545997,2025-06-16 16h05.08.035162 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.72146791600005,29.748692957999992,29.748692957999992,29.748692957999992,32.012448250000034,None,None,3.0,l,2.258347833000016,None,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h05.03.148,rumination_demo,2024.2.4,60.33287153545997,2025-06-16 16h05.08.035162 +0800,
